date,open,high,low,close,volume
2024-01-02T14:30:00Z,187.17,188.05,186.35,187.83,3252877
2024-01-02T14:31:00Z,187.83,188.12,187.63,187.765,809707
2024-01-02T14:32:00Z,187.77,188.44,187.73,188.2984,687086
2024-01-02T14:33:00Z,188.305,188.31,187.81,188.16,485275
2024-01-02T14:34:00Z,188.15,188.15,187.67,187.73,415948
2024-01-02T14:35:00Z,187.76,188.07,187.66,188.03,387127
2024-01-02T14:36:00Z,188.04,188.05,187.66,187.67,388159
2024-01-02T14:37:00Z,187.67,187.81,187.56,187.58,350197
2024-01-02T14:38:00Z,187.5848,187.625,187.13,187.385,421004
2024-01-02T14:39:00Z,187.38,187.59,187.36,187.53,280899
2024-01-02T14:40:00Z,187.54,187.56,187.02,187.13,435819
2024-01-02T14:41:00Z,187.135,187.18,186.66,186.66,389038
2024-01-02T14:42:00Z,186.6627,186.96,186.51,186.55,375535
2024-01-02T14:43:00Z,186.54,186.58,186.205,186.23,544473
2024-01-02T14:44:00Z,186.2313,186.4104,186.06,186.26,446615
2024-01-02T14:45:00Z,186.25,186.27,186.01,186.014,352297
2024-01-02T14:46:00Z,186.03,186.74,186.01,186.71,532627
2024-01-02T14:47:00Z,186.74,186.94,186.6,186.76,314904
2024-01-02T14:48:00Z,186.74,186.78,186.3447,186.36,259200
2024-01-02T14:49:00Z,186.36,186.39,186.08,186.1,273891
2024-01-02T14:50:00Z,186.09,186.465,186.09,186.2218,238499
2024-01-02T14:51:00Z,186.22,186.68,186.13,186.46,373595
2024-01-02T14:52:00Z,186.4562,186.505,186.23,186.28,313264
2024-01-02T14:53:00Z,186.285,186.4,186.19,186.25,368241
2024-01-02T14:54:00Z,186.26,186.39,186.205,186.28,193920
2024-01-02T14:55:00Z,186.27,186.36,186.21,186.26,197435
2024-01-02T14:56:00Z,186.25,186.27,186.05,186.055,210609
2024-01-02T14:57:00Z,186.05,186.27,186.03,186.255,217185
2024-01-02T14:58:00Z,186.255,186.415,186.21,186.34,384687
2024-01-02T14:59:00Z,186.34,186.6,186.3222,186.52,293980
2024-01-02T15:00:00Z,186.52,186.8753,186.48,186.8,393801
2024-01-02T15:01:00Z,186.79,186.875,186.75,186.83,209555
2024-01-02T15:02:00Z,186.83,186.85,186.57,186.6501,236448
2024-01-02T15:03:00Z,186.6505,186.9299,186.65,186.83,206328
2024-01-02T15:04:00Z,186.83,186.93,186.8,186.83,178915
2024-01-02T15:05:00Z,186.8201,186.845,186.52,186.5545,265436
2024-01-02T15:06:00Z,186.55,186.85,186.49,186.85,135653
2024-01-02T15:07:00Z,186.86,186.95,186.78,186.9293,133938
