date,open,high,low,close,volume
2024-01-02,187.15,188.44,183.885,185.64,82496943
2024-01-03,184.22,185.88,183.43,184.25,58418916
2024-01-04,182.15,183.0872,180.88,181.91,71992243
2024-01-05,181.99,182.76,180.17,181.18,62379661
2024-01-08,182.085,185.6,181.5,185.56,59151720
2024-01-09,183.92,185.15,182.73,185.14,42848219
2024-01-10,184.35,186.4,183.92,186.19,46797681
2024-01-11,186.54,187.05,183.62,185.59,49133996
2024-01-12,186.06,186.74,185.19,185.92,40477782
2024-01-16,182.16,184.26,180.934,183.63,65612289
2024-01-17,181.27,182.93,180.3,182.68,47321545
2024-01-18,186.09,189.14,185.83,188.63,78031784
2024-01-19,189.33,191.95,188.82,191.56,68902985
2024-01-22,192.3,195.33,192.26,193.89,60139948
2024-01-23,195.02,195.75,193.8299,195.18,42360151
2024-01-24,195.42,196.38,194.34,194.5,53636461
2024-01-25,195.22,196.2675,193.1125,194.17,54834147
2024-01-26,194.27,194.76,191.94,192.42,44594011
2024-01-29,192.01,192.2,189.58,191.73,47145521
2024-01-30,190.94,191.8,187.47,188.04,55854611
2024-01-31,187.04,187.095,184.35,184.4,55467803
2024-02-01,183.985,186.95,183.82,186.86,64885408
